timestamp_unix,fusion_timestamp,dominant_emotion,confidence,safe,stressed,alert_level,alert_reason,fer_neutral,fer_happy,fer_sad,fer_angry,fer_alert,fer_drowsy,bio_bpm,bio_hrv,bio_gsr,bio_safe,bio_stressed
1774268460.636,1774268460.6355114,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.08),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.664,1774268460.6644323,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.08),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.716,1774268460.7156796,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.07),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.765,1774268460.7652771,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.07),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268460.815,1774268460.8146918,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.07),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268460.872,1774268460.8716779,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.07),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268460.945,1774268460.94537,safe,0.9573605856314629,0.9573605856314629,0.04263941436853713,NORMAL,Stress level is low (EMA=0.06),0.2931716740131378,0.5291640162467957,0.15271520614624023,0.024949010461568832,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.015,1774268461.014891,safe,0.9721154680654747,0.9721154680654747,0.02788453193452528,NORMAL,Stress level is low (EMA=0.05),0.19175733625888824,0.6920570135116577,0.09990721195936203,0.016278330236673355,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.061,1774268461.061369,safe,0.9295865886330684,0.9295865886330684,0.07041341136693152,NORMAL,Stress level is low (EMA=0.06),0.16989277303218842,0.5367178916931152,0.27606311440467834,0.017326073721051216,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.106,1774268461.1058164,safe,0.9131579214177657,0.9131579214177657,0.08684207858223425,NORMAL,Stress level is low (EMA=0.07),0.19210009276866913,0.4460577964782715,0.3387924134731293,0.023049548268318176,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.127,1774268461.1270914,safe,0.9131579214177657,0.9131579214177657,0.08684207858223425,NORMAL,Stress level is low (EMA=0.07),0.19210009276866913,0.4460577964782715,0.3387924134731293,0.023049548268318176,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.170,1774268461.1701589,safe,0.9131579214177657,0.9131579214177657,0.08684207858223425,NORMAL,Stress level is low (EMA=0.08),0.19210009276866913,0.4460577964782715,0.3387924134731293,0.023049548268318176,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.219,1774268461.2194836,safe,0.9131579214177657,0.9131579214177657,0.08684207858223425,NORMAL,Stress level is low (EMA=0.08),0.19210009276866913,0.4460577964782715,0.3387924134731293,0.023049548268318176,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268461.270,1774268461.2697756,safe,0.9131579214177657,0.9131579214177657,0.08684207858223425,NORMAL,Stress level is low (EMA=0.08),0.19210009276866913,0.4460577964782715,0.3387924134731293,0.023049548268318176,1.0,0.0,0.0,0.0,675.0,1.0,0.0
